COMMODITY,,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Paddy,,1250,1310,1360,1410,1470,1550
Wheat,,1350,1400,1450,1525,1625,1735
Jowar,,1500,1500,1530,1570,1625,1700
Bajra,,1175,1250,1250,1275,1330,1425
Maize,,1175,1310,1310,1325,1365,1425
Barley,,980,1100,1150,1225,1325,1410
Ragi,,1500,1500,1550,1650,1725,1900
Gram,,3000,3100,3175,3500,4000,4400
Arhar,,3850,4300,4350,4625,5050,5450
Moong,,4400,4500,4600,4850,5225,5575
Masur,,2900,2950,3075,3400,3950,4250
Urad,,4300,4300,4350,4625,5000,5400
Sugarcane,,170,210,220,230,230,255
Raw Jute,,2200,2300,2400,2700,3200,3500
Groundnut Seed,,3700,4000,4000,4030,4220,4450
Rape & Mustard Seed,,3000,3050,3100,3350,3700,4000
Cotton Seed,,3600,3700,3750,3800,3860,4020
Copra (Coconut),,5100,5250,5250,5550,5950,6500
Gingelly Seed (Sesamum),,4200,4500,4600,4700,5000,5300
Niger Seed,,3500,3500,3600,3650,3825,4050
Safflower (Kardi Seed),,2800,3000,3050,3300,3700,4100
Sunflower,,3700,3700,3750,3800,3950,4100
Soyabean,,2240,2560,2560,2600,27775,3050