Month,Year,Rainfall ,Yield,WPI
April,2012,1054.7,,
May,2012,1054.7,,
June,2012,1054.7,,
July,2012,1054.7,,
August,2012,1054.7,,
September,2012,1054.7,,
October,2012,1054.7,,
November,2012,1054.7,,
December,2012,1054.7,,
January,2013,1092.5,,
February,2013,1092.5,,
March,2013,1092.5,,
April,2013,1092.5,,
May,2013,1092.5,,
June,2013,1092.5,,
July,2013,1092.5,,
August,2013,1092.5,,
September,2013,1092.5,,
October,2013,1092.5,,
November,2013,1092.5,,
December,2013,1092.5,,
January,2014,1045.2,,
February,2014,1045.2,,
March,2014,1045.2,,
April,2014,1045.2,,
May,2014,1045.2,,
June,2014,1045.2,,
July,2014,1045.2,,
August,2014,1045.2,,
September,2014,1045.2,,
October,2014,1045.2,,
November,2014,1045.2,,
December,2014,1045.2,,
January,2015,1085,,
February,2015,1085,,
March,2015,1085,,
April,2015,1085,,
May,2015,1085,,
June,2015,1085,,
July,2015,1085,,
August,2015,1085,,
September,2015,1085,,
October,2015,1085,,
November,2015,1085,,
December,2015,1085,,
January,2016,1083.2,,
February,2016,1083.2,,
March,2016,1083.2,,
April,2016,1083.2,,
May,2016,1083.2,,
June,2016,1083.2,,
July,2016,1083.2,,
August,2016,1083.2,,
September,2016,1083.2,,
October,2016,1083.2,,
November,2016,1083.2,,
December,2016,1083.2,,
January,2017,1127,,
February,2017,1127,,
March,2017,1127,,
April,2017,1127,,
May,2017,1127,,
June,2017,1127,,
July,2017,1127,,
August,2017,1127,,
September,2017,1127,,
October,2017,1127,,
November,2017,1127,,
December,2017,1127,,
January,2018,1050,,
February,2018,1050,,
March,2018,1050,,
April,2018,1050,,
May,2018,1050,,
June,2018,1050,,
July,2018,1050,,
August,2018,1050,,
September,2018,1050,,
October,2018,1050,,
November,2018,1050,,
December,2018,1050,,